track__artists__name,track__name,track__preview_url
LeAnn Rimes,Life Goes On,https://p.scdn.co/mp3-preview/e7c6a081aeb75ea4a5aa8c435acbd77dacdc7e8c?cid=774b29d4f13844c495f206cafdad9c86
Natalie Imbruglia,Torn,https://p.scdn.co/mp3-preview/c405418fc59792bc65184dad566a3b2dfb3734cb?cid=774b29d4f13844c495f206cafdad9c86
Wheatus,Teenage Dirtbag,https://p.scdn.co/mp3-preview/7e909315e9cc08a71ed050493796e88a93b56984?cid=774b29d4f13844c495f206cafdad9c86
Destiny's Child,Say My Name,https://p.scdn.co/mp3-preview/02ee79550a6b38fc7e9f7df1e521ae639b1e2c23?cid=774b29d4f13844c495f206cafdad9c86
OutKast,Ms. Jackson,https://p.scdn.co/mp3-preview/36ade9974fa85079e996dd9aca93af62c4e88711?cid=774b29d4f13844c495f206cafdad9c86
Santana,Smooth,https://p.scdn.co/mp3-preview/9f977ebb2e695502c8b1d3bd678ef706c9ea4ccb?cid=774b29d4f13844c495f206cafdad9c86
Crazy Town,Butterfly,https://p.scdn.co/mp3-preview/8bab4427d8ce0fcb58daacaa20d19864554806f1?cid=774b29d4f13844c495f206cafdad9c86
TLC,Waterfalls,https://p.scdn.co/mp3-preview/0d6910587f1e6081f7016d8bc2ec7ab94cf5f0fe?cid=774b29d4f13844c495f206cafdad9c86
Will Smith,Miami,https://p.scdn.co/mp3-preview/fabc6695056c4b63938190df123de6d33b193478?cid=774b29d4f13844c495f206cafdad9c86
2Pac,California Love - Original Version,https://p.scdn.co/mp3-preview/5d8eaad9cd9e8c1f060aea44109d9839c5eaeb59?cid=774b29d4f13844c495f206cafdad9c86
Sixpence None The Richer,Kiss Me,https://p.scdn.co/mp3-preview/debe99cfd8e4f3b6703aed6ace0f6be2db6696a3?cid=774b29d4f13844c495f206cafdad9c86
Avril Lavigne,Complicated,https://p.scdn.co/mp3-preview/497f3eed8dedf972b878e04e4e3f6b18556226c3?cid=774b29d4f13844c495f206cafdad9c86
Alicia Keys,Fallin',https://p.scdn.co/mp3-preview/b3dea0edd6e1e3a122f11903463de8d2d9ff3044?cid=774b29d4f13844c495f206cafdad9c86
Jennifer Lopez,Let's Get Loud,https://p.scdn.co/mp3-preview/1602f796323f42a598872fd87e8665403a676564?cid=774b29d4f13844c495f206cafdad9c86
Titiyo,Come Along,https://p.scdn.co/mp3-preview/ded21a5deb63c078e8b2c8bf81856ee7f70f036a?cid=774b29d4f13844c495f206cafdad9c86
Robbie Williams,Rock DJ,https://p.scdn.co/mp3-preview/9cc803e90d8c449f789c3df4cee5465980558625?cid=774b29d4f13844c495f206cafdad9c86
